win_prob,spread_mult,implied_spread
0.502,0,0.00
0.503,0,0.00
0.504,0,0.00
0.505,0,0.00
0.506,0,0.00
0.507,-82.23,-0.50
0.508,-71.95,-0.50
0.509,-63.954,-0.50
0.51,-57.557,-0.50
0.511,-52.323,-0.50
0.512,-47.961,-0.50
0.513,-44.271,-0.50
0.514,-41.107,-0.50
0.515,-38.365,-0.50
0.516,-35.966,-0.50
0.517,-33.848,-1.00
0.518,-31.967,-1.00
0.519,-30.283,-1.00
0.52,-28.767,-1.00
0.521,-27.396,-1.00
0.522,-26.149,-1.00
0.523,-25.01,-1.00
0.524,-23.967,-1.00
0.525,-23.007,-1.00
0.526,-22.12,-1.00
0.527,-31.949,-1.50
0.528,-30.806,-1.50
0.529,-29.741,-1.50
0.53,-28.748,-1.50
0.531,-27.818,-1.50
0.532,-26.947,-1.50
0.533,-26.128,-1.50
0.534,-25.357,-1.50
0.535,-24.63,-1.50
0.536,-23.944,-1.50
0.537,-31.059,-2.00
0.538,-30.239,-2.00
0.539,-29.46,-2.00
0.54,-28.721,-2.00
0.541,-28.017,-2.00
0.542,-27.347,-2.00
0.543,-26.708,-2.00
0.544,-26.098,-2.00
0.545,-25.515,-2.00
0.546,-24.957,-2.00
0.547,-24.423,-2.00
0.548,-29.889,-2.50
0.549,-29.275,-2.50
0.55,-28.686,-2.50
0.551,-28.12,-2.50
0.552,-27.575,-2.50
0.553,-27.051,-2.50
0.554,-26.546,-2.50
0.555,-26.06,-2.50
0.556,-25.591,-2.50
0.557,-25.138,-2.50
0.558,-24.701,-2.50
0.559,-24.278,-2.50
0.56,-23.87,-2.50
0.561,-23.475,-2.50
0.562,-23.092,-2.50
0.563,-22.722,-2.50
0.564,-22.363,-2.50
0.565,-22.015,-2.50
0.566,-21.678,-2.50
0.567,-21.35,-2.50
0.568,-21.032,-2.50
0.569,-20.724,-2.50
0.57,-20.424,-2.50
0.571,-20.132,-2.50
0.572,-19.849,-2.50
0.573,-19.573,-2.50
0.574,-19.305,-2.50
0.575,-22.852,-3.00
0.576,-22.547,-3.00
0.577,-22.249,-3.00
0.578,-21.959,-3.00
0.579,-21.677,-3.00
0.58,-21.401,-3.00
0.581,-21.132,-3.00
0.582,-20.87,-3.00
0.583,-20.614,-3.00
0.584,-20.364,-3.00
0.585,-20.12,-3.00
0.586,-19.881,-3.00
0.587,-19.648,-3.00
0.588,-19.42,-3.00
0.589,-19.197,-3.00
0.59,-18.979,-3.00
0.591,-18.766,-3.00
0.592,-18.557,-3.00
0.593,-18.353,-3.00
0.594,-18.153,-3.00
0.595,-17.957,-3.00
0.596,-17.766,-3.00
0.597,-17.578,-3.00
0.598,-17.394,-3.00
0.599,-17.213,-3.00
0.6,-17.037,-3.00
0.601,-16.863,-3.00
0.602,-16.693,-3.00
0.603,-16.526,-3.00
0.604,-16.363,-3.00
0.605,-16.202,-3.00
0.606,-16.045,-3.00
0.607,-15.89,-3.00
0.608,-15.738,-3.00
0.609,-15.589,-3.00
0.61,-15.443,-3.00
0.611,-17.849,-3.50
0.612,-17.684,-3.50
0.613,-17.522,-3.50
0.614,-17.363,-3.50
0.615,-17.206,-3.50
0.616,-17.052,-3.50
0.617,-16.901,-3.50
0.618,-16.752,-3.50
0.619,-16.606,-3.50
0.62,-16.462,-3.50
0.621,-16.321,-3.50
0.622,-16.181,-3.50
0.623,-16.044,-3.50
0.624,-15.909,-3.50
0.625,-15.777,-3.50
0.626,-15.646,-3.50
0.627,-15.517,-3.50
0.628,-15.39,-3.50
0.629,-15.265,-3.50
0.63,-15.142,-3.50
0.631,-15.021,-3.50
0.632,-14.902,-3.50
0.633,-14.784,-3.50
0.634,-14.668,-3.50
0.635,-14.554,-3.50
0.636,-14.442,-3.50
0.637,-14.331,-3.50
0.638,-14.221,-3.50
0.639,-16.129,-4.00
0.64,-16.008,-4.00
0.641,-15.888,-4.00
0.642,-15.77,-4.00
0.643,-15.653,-4.00
0.644,-15.538,-4.00
0.645,-15.424,-4.00
0.646,-15.312,-4.00
0.647,-15.202,-4.00
0.648,-15.092,-4.00
0.649,-14.985,-4.00
0.65,-14.878,-4.00
0.651,-14.773,-4.00
0.652,-14.67,-4.00
0.653,-14.568,-4.00
0.654,-14.466,-4.00
0.655,-16.163,-4.50
0.656,-16.052,-4.50
0.657,-15.942,-4.50
0.658,-15.834,-4.50
0.659,-15.727,-4.50
0.66,-15.621,-4.50
0.661,-15.517,-4.50
0.662,-15.414,-4.50
0.663,-15.312,-4.50
0.664,-15.212,-4.50
0.665,-15.112,-4.50
0.666,-15.014,-4.50
0.667,-14.916,-4.50
0.668,-16.467,-5.00
0.669,-16.361,-5.00
0.67,-16.257,-5.00
0.671,-16.154,-5.00
0.672,-16.052,-5.00
0.673,-15.951,-5.00
0.674,-15.851,-5.00
0.675,-17.327,-5.50
0.676,-17.22,-5.50
0.677,-17.113,-5.50
0.678,-17.008,-5.50
0.679,-16.904,-5.50
0.68,-16.801,-5.50
0.681,-16.699,-5.50
0.682,-16.598,-5.50
0.683,-16.499,-5.50
0.684,-16.4,-5.50
0.685,-16.302,-5.50
0.686,-17.679,-6.00
0.687,-17.574,-6.00
0.688,-17.471,-6.00
0.689,-17.368,-6.00
0.69,-17.267,-6.00
0.691,-17.166,-6.00
0.692,-17.067,-6.00
0.693,-16.969,-6.00
0.694,-16.871,-6.00
0.695,-16.775,-6.00
0.696,-16.679,-6.00
0.697,-16.584,-6.00
0.698,-16.49,-6.00
0.699,-16.397,-6.00
0.7,-16.305,-6.00
0.701,-17.565,-6.50
0.702,-17.467,-6.50
0.703,-17.37,-6.50
0.704,-17.274,-6.50
0.705,-17.179,-6.50
0.706,-17.085,-6.50
0.707,-16.991,-6.50
0.708,-16.898,-6.50
0.709,-16.807,-6.50
0.71,-16.716,-6.50
0.711,-16.625,-6.50
0.712,-16.536,-6.50
0.713,-16.447,-6.50
0.714,-16.359,-6.50
0.715,-16.272,-6.50
0.716,-16.185,-6.50
0.717,-16.1,-6.50
0.718,-16.015,-6.50
0.719,-17.156,-7.00
0.72,-17.066,-7.00
0.721,-16.977,-7.00
0.722,-16.888,-7.00
0.723,-16.8,-7.00
0.724,-16.713,-7.00
0.725,-16.627,-7.00
0.726,-16.541,-7.00
0.727,-16.456,-7.00
0.728,-16.372,-7.00
0.729,-16.288,-7.00
0.73,-16.205,-7.00
0.731,-16.123,-7.00
0.732,-16.041,-7.00
0.733,-15.96,-7.00
0.734,-15.88,-7.00
0.735,-15.8,-7.00
0.736,-15.721,-7.00
0.737,-16.759,-7.50
0.738,-16.676,-7.50
0.739,-16.593,-7.50
0.74,-16.51,-7.50
0.741,-16.429,-7.50
0.742,-16.348,-7.50
0.743,-16.267,-7.50
0.744,-16.187,-7.50
0.745,-16.108,-7.50
0.746,-16.029,-7.50
0.747,-15.951,-7.50
0.748,-15.873,-7.50
0.749,-15.796,-7.50
0.75,-15.719,-7.50
0.751,-16.686,-8.00
0.752,-16.606,-8.00
0.753,-16.526,-8.00
0.754,-16.446,-8.00
0.755,-16.367,-8.00
0.756,-16.289,-8.00
0.757,-16.211,-8.00
0.758,-16.134,-8.00
0.759,-16.057,-8.00
0.76,-15.981,-8.00
0.761,-15.905,-8.00
0.762,-15.83,-8.00
0.763,-16.74,-8.50
0.764,-16.661,-8.50
0.765,-16.582,-8.50
0.766,-16.504,-8.50
0.767,-16.427,-8.50
0.768,-16.35,-8.50
0.769,-16.274,-8.50
0.77,-16.198,-8.50
0.771,-16.122,-8.50
0.772,-16.047,-8.50
0.773,-15.973,-8.50
0.774,-16.834,-9.00
0.775,-16.756,-9.00
0.776,-16.679,-9.00
0.777,-16.602,-9.00
0.778,-16.525,-9.00
0.779,-16.449,-9.00
0.78,-16.373,-9.00
0.781,-17.204,-9.50
0.782,-17.125,-9.50
0.783,-17.046,-9.50
0.784,-16.968,-9.50
0.785,-16.891,-9.50
0.786,-16.814,-9.50
0.787,-16.737,-9.50
0.788,-16.661,-9.50
0.789,-16.585,-9.50
0.79,-17.379,-10.00
0.791,-17.3,-10.00
0.792,-17.222,-10.00
0.793,-17.144,-10.00
0.794,-17.066,-10.00
0.795,-16.989,-10.00
0.796,-16.912,-10.00
0.797,-16.836,-10.00
0.798,-16.76,-10.00
0.799,-16.685,-10.00
0.8,-17.44,-10.50
0.801,-17.362,-10.50
0.802,-17.284,-10.50
0.803,-17.206,-10.50
0.804,-17.129,-10.50
0.805,-17.052,-10.50
0.806,-16.976,-10.50
0.807,-16.9,-10.50
0.808,-16.824,-10.50
0.809,-16.749,-10.50
0.81,-16.674,-10.50
0.811,-16.599,-10.50
0.812,-16.525,-10.50
0.813,-17.235,-11.00
0.814,-17.158,-11.00
0.815,-17.081,-11.00
0.816,-17.005,-11.00
0.817,-16.929,-11.00
0.818,-16.854,-11.00
0.819,-16.778,-11.00
0.82,-16.704,-11.00
0.821,-16.629,-11.00
0.822,-17.308,-11.50
0.823,-17.23,-11.50
0.824,-17.154,-11.50
0.825,-17.077,-11.50
0.826,-17.001,-11.50
0.827,-16.925,-11.50
0.828,-16.85,-11.50
0.829,-16.775,-11.50
0.83,-17.426,-12.00
0.831,-17.348,-12.00
0.832,-17.271,-12.00
0.833,-17.194,-12.00
0.834,-17.117,-12.00
0.835,-17.041,-12.00
0.836,-16.964,-12.00
0.837,-16.889,-12.00
0.838,-16.813,-12.00
0.839,-17.435,-12.50
0.84,-17.357,-12.50
0.841,-17.28,-12.50
0.842,-17.202,-12.50
0.843,-17.125,-12.50
0.844,-17.73,-13.00
0.845,-17.65,-13.00
0.846,-17.571,-13.00
0.847,-17.492,-13.00
0.848,-17.413,-13.00
0.849,-17.335,-13.00
0.85,-17.257,-13.00
0.851,-17.179,-13.00
0.852,-17.101,-13.00
0.853,-17.024,-13.00
0.854,-16.947,-13.00
0.855,-17.519,-13.50
0.856,-17.439,-13.50
0.857,-17.36,-13.50
0.858,-17.281,-13.50
0.859,-17.202,-13.50
0.86,-17.124,-13.50
0.861,-17.046,-13.50
0.862,-16.968,-13.50
0.863,-16.89,-13.50
0.864,-16.812,-13.50
0.865,-16.735,-13.50
0.866,-16.658,-13.50
0.867,-16.581,-13.50
0.868,-16.505,-13.50
0.869,-17.037,-14.00
0.87,-16.958,-14.00
0.871,-16.879,-14.00
0.872,-16.801,-14.00
0.873,-16.722,-14.00
0.874,-16.72,-14.00
0.875,-16.72,-14.00
0.876,-16.72,-14.00
0.877,-16.72,-14.50
0.878,-16.72,-14.50
0.879,-16.72,-14.50
0.88,-17,-14.50
0.881,-17,-15.00
0.882,-17,-15.00
0.883,-17,-15.00
0.884,-17,-15.00
0.885,-17,-15.00
0.886,-17,-15.00
0.887,-17,-15.00
0.888,-17,-15.50
0.889,-17,-15.50
0.89,-17,-15.50
0.891,-17,-15.50
0.892,-17,-15.50
0.893,-17,-15.50
0.894,-17,-15.50
0.895,-17,-16.00
0.896,-17,-16.00
0.897,-17,-16.00
0.898,-17,-16.00
0.899,-17,-16.00
0.9,-17,-16.00
0.901,-17,-16.50
0.902,-17,-16.50
0.903,-17,-16.50
0.904,-17,-16.50
0.905,-17,-16.50
0.906,-17,-16.50
0.907,-17,-17.00
0.908,-17,-17.00
0.909,-17,-17.00
0.91,-17,-17.00
0.911,-17,-17.00
0.912,-17,-17.50
0.913,-17,-17.50
0.914,-17,-17.50
0.915,-17,-17.50
0.916,-17,-17.50
0.917,-17,-17.50
0.918,-17,-18.00
0.919,-17,-18.00
0.92,-17,-18.00
0.921,-17,-18.00
0.922,-17,-18.00
0.923,-17,-18.50
0.924,-17,-18.50
0.925,-17,-18.50
0.926,-17,-18.50
0.927,-17,-19.00
0.928,-17,-19.00
0.929,-17,-19.00
0.93,-17,-19.00
0.931,-17,-19.00
0.932,-17,-19.50
0.933,-17,-19.50
0.934,-17,-19.50
0.935,-17,-19.50
0.936,-17,-20.00
0.937,-17,-20.00
0.938,-17,-20.00
0.939,-17,-20.00
0.94,-17,-20.50
0.941,-17,-20.50
0.942,-17,-20.50
0.943,-17,-20.50
0.944,-17,-21.00
0.945,-17,-21.00
0.946,-17,-21.00
0.947,-17,-21.50
0.948,-17,-21.50
0.949,-17,-21.50
0.95,-17,-21.50
0.951,-17,-22.00
0.952,-17,-22.00
0.953,-17,-22.00
0.954,-17,-22.50
0.955,-17,-22.50
0.956,-17,-22.50
0.957,-17,-23.00
0.958,-17,-23.00
0.959,-17,-23.50
0.96,-17,-23.50
0.961,-17,-23.50
0.962,-17,-24.00
0.963,-17,-24.00
0.964,-17,-24.50
0.965,-17,-24.50
0.966,-17,-24.50
0.967,-17,-25.00
0.968,-17,-25.00
0.969,-17,-25.50
0.97,-17,-25.50
0.971,-17,-26.00
0.972,-17,-26.00
0.973,-17,-26.50
0.974,-17,-27.00
0.975,-17,-27.00
0.976,-17,-27.50
0.977,-17,-27.50
0.978,-17,-28.00
0.979,-17,-28.50
0.98,-17,-28.50
0.981,-17,-29.00
0.982,-17,-29.50
0.983,-17,-30.00
0.984,-17,-30.50
0.985,-17,-31.00
0.986,-17,-31.50
0.987,-17,-32.00
0.988,-17,-32.50
0.989,-17,-33.00
0.99,-17,-34.00
0.991,-17,-34.50
0.992,-17,-35.50
0.993,-17,-36.50
0.994,-17,-37.50
0.995,-17,-39.00
0.996,-17,-40.50
0.997,-17,-43.00
0.998,-17,-46.00
0.999,-17,-51.00
1,-17,52.00
